# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "/data/home/ecumunel/M2_internship/rnaseq_data/annotation/GCF_000008865.2_ASM886v2_genomic.gff" "-t" "gene" "-g" "locus_tag" "-o" "/data/home/ecumunel/M2_internship/rnaseq_data/featureCounts_results/trimmed_ERR2955747.tsv" "/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955747.sam" 
Geneid	Chr	Start	End	Strand	Length	/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955747.sam
ECs_0001	NC_002695.2	190	273	+	84	6917
ECs_0002	NC_002695.2	354	2816	+	2463	24294
ECs_0003	NC_002695.2	2818	3750	+	933	7509
ECs_0004	NC_002695.2	3751	5037	+	1287	15982
ECs_0005	NC_002695.2	5251	5547	+	297	971
ECs_0006	NC_002695.2	5700	6476	-	777	5485
ECs_0007	NC_002695.2	6546	7976	-	1431	1051
ECs_0008	NC_002695.2	8255	9208	+	954	34113
ECs_0009	NC_002695.2	9323	9910	+	588	1741
ECs_0010	NC_002695.2	9945	10511	-	567	3340
ECs_0012	NC_002695.2	10660	11373	-	714	128
ECs_0013	NC_002695.2	11399	11803	-	405	120
ECs_0014	NC_002695.2	12180	14096	+	1917	107019
ECs_0015	NC_002695.2	14185	15315	+	1131	23104
ECs_0016	NC_002695.2	15419	15628	-	210	7212
ECs_0017	NC_002695.2	16157	17323	+	1167	20273
ECs_0018	NC_002695.2	17389	18288	+	900	6896
ECs_0022	NC_002695.2	19299	21749	-	2451	176
ECs_0023	NC_002695.2	21762	22445	-	684	31
ECs_0024	NC_002695.2	22495	23028	-	534	46
ECs_0025	NC_002695.2	23330	24751	-	1422	41
ECs_0026	NC_002695.2	25221	25484	-	264	66469
ECs_0028	NC_002695.2	25819	26760	+	942	11520
ECs_0029	NC_002695.2	26803	29619	+	2817	43981
ECs_0030	NC_002695.2	29619	30113	+	495	5305
ECs_0031	NC_002695.2	30201	30650	+	450	4412
ECs_0032	NC_002695.2	30652	31602	+	951	5585
ECs_0033	NC_002695.2	31668	32582	+	915	1380
ECs_0034	NC_002695.2	32749	33570	+	822	1888
