# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "/data/home/ecumunel/M2_internship/rnaseq_data/annotation/GCF_000008865.2_ASM886v2_genomic.gff" "-t" "gene" "-g" "locus_tag" "-o" "/data/home/ecumunel/M2_internship/rnaseq_data/featureCounts_results/trimmed_ERR2955752.tsv" "/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955752.sam" 
Geneid	Chr	Start	End	Strand	Length	/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955752.sam
ECs_0001	NC_002695.2	190	273	+	84	2218
ECs_0002	NC_002695.2	354	2816	+	2463	3176
ECs_0003	NC_002695.2	2818	3750	+	933	1233
ECs_0004	NC_002695.2	3751	5037	+	1287	2504
ECs_0005	NC_002695.2	5251	5547	+	297	572
ECs_0006	NC_002695.2	5700	6476	-	777	2881
ECs_0007	NC_002695.2	6546	7976	-	1431	536
ECs_0008	NC_002695.2	8255	9208	+	954	31448
ECs_0009	NC_002695.2	9323	9910	+	588	2575
ECs_0010	NC_002695.2	9945	10511	-	567	8355
ECs_0012	NC_002695.2	10660	11373	-	714	119
ECs_0013	NC_002695.2	11399	11803	-	405	74
ECs_0014	NC_002695.2	12180	14096	+	1917	34617
ECs_0015	NC_002695.2	14185	15315	+	1131	12952
ECs_0016	NC_002695.2	15419	15628	-	210	6585
ECs_0017	NC_002695.2	16157	17323	+	1167	13440
ECs_0018	NC_002695.2	17389	18288	+	900	4709
ECs_0022	NC_002695.2	19299	21749	-	2451	191
ECs_0023	NC_002695.2	21762	22445	-	684	27
ECs_0024	NC_002695.2	22495	23028	-	534	122
ECs_0025	NC_002695.2	23330	24751	-	1422	149
ECs_0026	NC_002695.2	25221	25484	-	264	166197
ECs_0028	NC_002695.2	25819	26760	+	942	13579
ECs_0029	NC_002695.2	26803	29619	+	2817	42927
ECs_0030	NC_002695.2	29619	30113	+	495	5473
ECs_0031	NC_002695.2	30201	30650	+	450	4022
ECs_0032	NC_002695.2	30652	31602	+	951	5661
ECs_0033	NC_002695.2	31668	32582	+	915	1562
ECs_0034	NC_002695.2	32749	33570	+	822	769
ECs_0035	NC_002695.2	34026	35174	+	1149	1158
ECs_0036	NC_002695.2	35192	38413	+	3222	2648
ECs_5362	NC_002695.2	38421	38639	-	219	8
ECs_0037	NC_002695.2	38674	39069	+	396	190
ECs_0038	NC_002695.2	39188	39778	-	591	81
ECs_0039	NC_002695.2	39784	40569	-	786	22
ECs_0040	NC_002695.2	40678	42231	-	1554	393
ECs_0041	NC_002695.2	42305	43522	-	1218	391
ECs_0042	NC_002695.2	43651	44793	-	1143	665
ECs_0043	NC_002695.2	44824	46338	-	1515	30
ECs_0044	NC_002695.2	46817	47587	+	771	114
ECs_0045	NC_002695.2	47602	48543	+	942	88
ECs_0046	NC_002695.2	48594	49880	+	1287	91
ECs_0047	NC_002695.2	49877	50164	+	288	14
ECs_0048	NC_002695.2	50222	51553	+	1332	125
ECs_0049	NC_002695.2	51661	52191	+	531	204
ECs_0050	NC_002695.2	52184	54046	+	1863	890
ECs_0051	NC_002695.2	54127	54717	+	591	14856
ECs_0052	NC_002695.2	54803	55036	+	234	5252
ECs_0053	NC_002695.2	55039	55353	+	315	2732
ECs_0054	NC_002695.2	55350	56198	-	849	7302
ECs_0055	NC_002695.2	56205	56582	-	378	5091
ECs_0056	NC_002695.2	56585	57406	-	822	13052
ECs_0057	NC_002695.2	57403	58392	-	990	8641
ECs_0058	NC_002695.2	58392	59678	-	1287	28826
ECs_0059	NC_002695.2	59731	62085	-	2355	38139
ECs_0060	NC_002695.2	62340	63155	+	816	2825
ECs_0061	NC_002695.2	63450	64202	+	753	958
ECs_0062	NC_002695.2	64620	65279	-	660	7839
ECs_0063	NC_002695.2	65291	68197	-	2907	33720
ECs_0064	NC_002695.2	68361	70712	-	2352	2465
ECs_0065	NC_002695.2	70787	71482	-	696	228
ECs_0066	NC_002695.2	71682	73184	-	1503	469
ECs_0067	NC_002695.2	73195	74895	-	1701	259
ECs_0068	NC_002695.2	75234	76112	+	879	292
ECs_0069	NC_002695.2	76198	76962	+	765	2462
ECs_0070	NC_002695.2	77049	77747	-	699	1638
ECs_0071	NC_002695.2	77731	79341	-	1611	2455
ECs_0072	NC_002695.2	79317	80300	-	984	6460
ECs_0073	NC_002695.2	80672	81241	+	570	210
ECs_0074	NC_002695.2	81470	83128	-	1659	1756
ECs_0075	NC_002695.2	83456	84061	-	606	1188
ECs_0076	NC_002695.2	84072	85472	-	1401	1716
ECs_0077	NC_002695.2	85475	86566	-	1092	1817
ECs_0078	NC_002695.2	86566	88137	-	1572	2655
ECs_0079	NC_002695.2	88230	88316	-	87	122
ECs_0080	NC_002695.2	88974	89918	+	945	155
ECs_0081	NC_002695.2	90236	91960	+	1725	1216
ECs_0082	NC_002695.2	91963	92454	+	492	450
ECs_0083	NC_002695.2	92466	92552	+	87	57
ECs_0084	NC_002695.2	92634	93638	+	1005	2995
ECs_0085	NC_002695.2	94240	94698	+	459	9220
ECs_0086	NC_002695.2	94700	95641	+	942	13916
ECs_0087	NC_002695.2	95638	96003	+	366	3117
ECs_0088	NC_002695.2	96019	97785	+	1767	7406
ECs_0089	NC_002695.2	97772	99259	+	1488	5900
ECs_0090	NC_002695.2	99256	100614	+	1359	5888
ECs_0091	NC_002695.2	100608	101690	+	1083	2580
ECs_0092	NC_002695.2	101693	103009	+	1317	3046
ECs_0093	NC_002695.2	103009	104253	+	1245	5001
ECs_0094	NC_002695.2	104250	105317	+	1068	5135
ECs_0095	NC_002695.2	105371	106846	+	1476	6662
ECs_0096	NC_002695.2	106839	107759	+	921	5501
ECs_0097	NC_002695.2	107761	108591	+	831	5274
ECs_0098	NC_002695.2	108588	109850	+	1263	4641
ECs_0099	NC_002695.2	109911	111062	+	1152	15539
ECs_0100	NC_002695.2	111163	112080	+	918	108512
ECs_0101	NC_002695.2	112311	112823	+	513	6620
ECs_0102	NC_002695.2	112885	115590	+	2706	28568
ECs_0103	NC_002695.2	115650	116048	+	399	1566
ECs_0105	NC_002695.2	116139	116336	-	198	1202
ECs_0106	NC_002695.2	116346	117089	-	744	3200
ECs_0107	NC_002695.2	117089	117709	-	621	1795
ECs_0108	NC_002695.2	117934	118977	+	1044	6081
ECs_0110	NC_002695.2	119012	120214	-	1203	804
ECs_0111	NC_002695.2	120204	121589	-	1386	801
ECs_0112	NC_002695.2	121599	122039	-	441	111
ECs_0113	NC_002695.2	122242	123135	-	894	3955
ECs_0114	NC_002695.2	123223	123774	+	552	960
ECs_0115	NC_002695.2	123771	124625	+	855	1320
ECs_0116	NC_002695.2	124668	126038	-	1371	2227
ECs_0117	NC_002695.2	126582	127346	+	765	49782
ECs_0118	NC_002695.2	127507	130170	+	2664	245325
ECs_0119	NC_002695.2	130185	132077	+	1893	131958
ECs_0120	NC_002695.2	132285	133709	+	1425	72290
ECs_0121	NC_002695.2	133780	135633	-	1854	1509
ECs_0122	NC_002695.2	135988	138585	+	2598	28026
ECs_0123	NC_002695.2	138761	139123	+	363	798
ECs_0124	NC_002695.2	139161	139955	-	795	12165
ECs_0125	NC_002695.2	139971	140837	-	867	20041
ECs_0126	NC_002695.2	140943	141251	-	309	4053
ECs_0127	NC_002695.2	141456	143006	+	1551	1126
ECs_0128	NC_002695.2	143208	145598	-	2391	16664
ECs_0129	NC_002695.2	145804	146340	+	537	11102
ECs_0130	NC_002695.2	146381	147043	-	663	26109
ECs_0131	NC_002695.2	147152	148078	+	927	3299
ECs_0132	NC_002695.2	148075	148845	+	771	2153
ECs_0133	NC_002695.2	148950	149390	+	441	598
